,ra,dec
268,100.1374407,12.28342631
269,101.02251707,12.28246711
270,97.2639323,8.44007932
271,98.23798876,13.14376662
272,99.13566007,10.36739398
273,97.23461080000001,11.22055166
274,97.22949701,12.26848958
275,97.25556304,9.3063681
276,98.2624076,9.31447073
277,98.24490297,12.27729806
278,97.24516327,10.35426442
279,100.13873452,8.452289909999998
280,98.24996596,11.22858068
281,99.12997057,12.28255656
282,100.13788301,10.36578525
283,96.36626309,10.34263701
284,99.14030924,8.45078348
285,98.2662241,8.44799777
286,101.01920196,11.23132518
287,100.13753715,11.23227555
288,103.81359835,3.16725123
289,103.81536162,2.12026094
290,102.82273965,5.08410779
291,100.96370108,3.16158048
292,101.95452305,5.08063709
293,100.97226171,1.24722828
294,104.67969036,3.16813926
295,100.96848865,2.11360059
296,100.95838323,5.07594757
297,103.81103275,5.08497861
298,100.95787539,4.02794791
299,102.8287745,1.25215617
300,103.8165644,1.25367729
301,100.0977246,3.15530737
302,102.82622938,3.1688485
303,101.96395043,1.25111805
304,102.82807246,2.11871372
305,101.96276894,2.11763994
306,104.67927739,5.08581962
307,101.96017286,3.16535388
308,105.8215425,-4.03243837
309,106.68888866,-5.94754347
310,104.82274826,-5.94668039
311,106.68841712,-4.030704
312,105.81960334,-5.94681585
313,104.82406523,-4.03217352
314,124.33361007,5.08501412
315,122.47710079,5.08119835
316,121.49416292,1.24807893
317,123.34258868,5.95095797
318,123.34532036,5.08441402
319,122.48585131,1.2516849
320,125.20186219,5.08562946
321,122.48242494,3.16593232
322,123.34847924,3.16917323
323,123.35066264,1.25246993
324,121.48593262,3.16244417
325,121.48098125,5.0767842
326,102.51805391,-11.2309493
327,103.39971466,-11.23093173
328,101.5036164,-11.2266353
329,98.76205185,-4.032924
330,98.76217585,-2.11748062
331,98.76006554000001,-5.94730769
332,99.62897082,-4.03114171
333,99.62939828,-5.94798579
334,97.76922892,-2.11817379
335,97.76458988,-4.03269573
336,99.62759615,-2.11574072
337,97.76321921,-5.94719436
338,96.8977551,-4.0337176
339,68.87367385,46.30462907
340,70.31374039,46.34075448
341,78.44870682,41.06183944
342,79.59577650999998,41.07650196
343,76.10717112,39.08026285
344,79.61787778999998,39.16145247
345,77.30679553,37.20559995
346,77.22038678,39.11862039
347,78.55149095999998,37.23340537
348,79.6375663,37.24497304
349,78.50274623999998,39.14711812
350,77.13349404999998,41.0317003
351,83.51201978999998,30.88236707
352,84.66970354,30.90463001
353,85.68338858,30.04722667
354,84.64996515999998,31.95212276
355,84.68460736,30.03827881
356,86.83899148,33.87989842
357,83.47766937999998,31.92985261
358,84.61160771999998,33.86700602
359,86.83126192,31.96230144
360,85.66916764,31.96371564
361,83.53964876,30.01639753
362,85.65317417999998,33.87879285
363,83.41699373,33.84339854
364,81.19383003999998,23.68843648
365,81.16942301,24.73613152
366,81.21351772,22.82231045
367,80.2177195,24.71269495
368,81.12760041999998,26.65000614
369,84.30739771999998,26.6785196
370,82.28921995999998,22.83911222
371,82.26494107,24.753105
372,82.23777452,26.6681139
373,83.21722142999998,24.76237442
374,83.22745718,22.84582897
375,84.30300140999998,24.76090713
376,83.20560847,26.67748684
377,82.27890128,23.70553009
378,90.73108367,22.84756139
379,88.67308323999998,24.73783975
380,89.7825316,23.70725899
381,89.76855716,24.75479966
382,87.72143275,24.71442758
383,90.72080114,24.76405242
384,91.81089797000001,26.68015148
385,89.74136475,26.66978136
386,89.79287555,22.84087439
387,92.77877108000001,26.67534518
